category,category_url,subcats,files
SVG flags of Switzerland,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Switzerland,4,21
SVG flags of Syria,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Syria,5,43
SVG flags of Tajikistan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Tajikistan,1,7
SVG flags of Tanzania,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Tanzania,3,9
SVG flags of Thailand,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Thailand,8,35
SVG flags of Tibet,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Tibet,1,4
SVG flags of East Timor,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_East_Timor,1,11
SVG flags of Togo,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Togo,1,2
SVG flags of Tonga,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Tonga,4,5
SVG flags of Trinidad and Tobago,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Trinidad_and_Tobago,2,7
SVG flags of Tunisia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Tunisia,1,11
SVG flags of Turkey,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Turkey,7,18
